,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-7.322654271411658e-06,-1.3201283177322253e-05,-1.179098087283654e-05,-1.1871073268456252e-05,-1.1973877643169021e-05,-1.2093392951611707e-05,-1.2221913740923864e-05,-1.2349990297063306e-05,-1.246641737587936e-05,-1.2558273282789489e-05,-1.2611034408822327e-05,-1.2608792374026553e-05,-1.2534600716340385e-05,-1.2370974448525971e-05,-1.210055759239711e-05,-1.1706959998857412e-05,-1.117574496502279e-05,-1.0495523999283377e-05,-9.65908669547225e-06,-8.664465981982517e-06,-7.515817622564961e-06,-6.223984351086764e-06,-4.806625560592497e-06,-3.2878267313144404e-06,-1.6971579677153186e-06,-6.822152211151313e-08,1.5631980474702404e-06,3.1612055092573768e-06,4.691876782486512e-06,6.125137880805284e-06,7.436261282388969e-06,8.606860177290933e-06,9.625334175377925e-06,1.0486791073074526e-05,1.1192525856460194e-05,1.174917326565734e-05,1.2167662753295e-05,1.246209793303751e-05,1.2648662641877328e-05,1.2744629199173e-05,1.2767517288998408e-05,1.2734428822694853e-05,1.2661569057784313e-05,1.2563962219735464e-05,1.2455392774356905e-05,1.2348687616723032e-05,1.2256721000505026e-05,1.2195404337855475e-05,1.2193048275510895e-05,1.232238434912676e-05,6.216699496636368e-06
2,-1.320128317732225e-05,-2.350803531804922e-05,-2.0675683617142702e-05,-2.0823093757438056e-05,-2.1012050103328036e-05,-2.1231959889515306e-05,-2.146921975209561e-05,-2.1707126358862095e-05,-2.1925834069333488e-05,-2.2102398825096252e-05,-2.2210954091370978e-05,-2.2223069223062673e-05,-2.2108341354869974e-05,-2.183526663102791e-05,-2.137242291399622e-05,-2.0689971911680942e-05,-1.9761452760334625e-05,-1.856579218608692e-05,-1.7089401984836367e-05,-1.53281798369636e-05,-1.3289185154822939e-05,-1.0991740928077752e-05,-8.467728285417933e-06,-5.760901270795461e-06,-2.925154825731747e-06,-2.1816857270984475e-08,2.8838185666224363e-06,5.726376526119832e-06,8.444293573762985e-06,1.0983304642203607e-05,1.3299181526985862e-05,1.535950207407169e-05,1.7144374875346447e-05,1.864618239489713e-05,1.986851176510369e-05,2.08245044669014e-05,2.153487319888573e-05,2.2025814809554687e-05,2.2327005050432123e-05,2.246980737225406e-05,2.2485775076685083e-05,2.240548162823557e-05,2.2257682665541772e-05,2.2068798486151256e-05,2.1862711104976107e-05,2.1660899837971123e-05,2.1482985891190845e-05,2.1347703408076453e-05,2.1273390368896595e-05,2.1270977347490365e-05,1.0644108426173195e-05
3,-1.9113635144248195e-05,-3.387696679446495e-05,-2.962128655179017e-05,-2.9845770097402774e-05,-3.013422061935405e-05,-3.0471493743219012e-05,-3.0838089426667126e-05,-3.120997715365579e-05,-3.155847891393139e-05,-3.185026787418032e-05,-3.204755197126641e-05,-3.2108520653905906e-05,-3.19881370108683e-05,-3.1639353059394654e-05,-3.101480895341033e-05,-3.0069043265621798e-05,-2.8761188366300264e-05,-2.7058051986002197e-05,-2.493739753144889e-05,-2.2391142015273913e-05,-1.9428108812691866e-05,-1.6075925659039868e-05,-1.2381670453235738e-05,-8.410956727236153e-06,-4.245320555318723e-06,2.1997201590838802e-08,4.291526603590449e-06,8.463738685178242e-06,1.24452203944196e-05,1.6154164346492356e-05,1.952460806374707e-05,2.2509073468236958e-05,2.5079509844087204e-05,2.7226675701084047e-05,2.8958265372703565e-05,3.0296176239394195e-05,3.127332552037244e-05,3.19303797096724e-05,3.231267899775803e-05,3.2467546239970166e-05,3.2442082587252994e-05,3.228148039177486e-05,3.202783287822373e-05,3.1719388839694004e-05,3.139018402437276e-05,3.106996460321272e-05,3.0784261249490135e-05,3.0554257362211355e-05,3.0395437140192923e-05,3.0312626240885206e-05,1.5144961634320556e-05
4,-2.5072356445778502e-05,-4.433112907548727e-05,-3.865038044608924e-05,-3.896604885575072e-05,-3.937331030660435e-05,-3.9852566600199183e-05,-4.037847333963672e-05,-4.0919626944601424e-05,-4.143830774349874e-05,-4.189035693183933e-05,-4.222528328160809e-05,-4.238671188526818e-05,-4.2313298311686645e-05,-4.194023222385708e-05,-4.12014382893667e-05,-4.003254195815491e-05,-3.837459701949871e-05,-3.617846757902302e-05,-3.3409622409337264e-05,-3.0052947588806713e-05,-2.611703932831424e-05,-2.1637340027579196e-05,-1.6677470101254355e-05,-1.1328223295770123e-05,-5.703948892674365e-06,6.358311607714169e-08,5.833315901717176e-06,1.1464149889600281e-05,1.6824190287056647e-05,2.1798890864009525e-05,2.629720401301969e-05,3.0255217421970213e-05,3.363717931239283e-05,3.643418690704085e-05,3.8661068749450416e-05,4.0352107157381014e-05,4.155623717888053e-05,4.2332260182744883e-05,4.274446680058776e-05,4.2858912445849185e-05,4.274045440687667e-05,4.2450555488143956e-05,4.204578811320666e-05,4.157693018531412e-05,4.108851990464585e-05,4.0618715419916854e-05,4.0199262489380376e-05,3.985528017400758e-05,3.960445206560462e-05,3.945540371428154e-05,1.9703386692528683e-05
5,-3.108751278741722e-05,-5.488901689779299e-05,-4.7781629527975195e-05,-4.82070303006791e-05,-4.875855111267933e-05,-4.941234092071323e-05,-5.0137372667354344e-05,-5.089492182268091e-05,-5.1638080490889164e-05,-5.231140500067805e-05,-5.285082241113343e-05,-5.318394926228032e-05,-5.323099972609838e-05,-5.290647309662082e-05,-5.212180261539312e-05,-5.0789107065057806e-05,-4.882610094894378e-05,-4.6162078813679415e-05,-4.274469289203075e-05,-3.8547004084413575e-05,-3.3574038803518315e-05,-2.7867886364183218e-05,-2.151029887788704e-05,-1.4621882462659513e-05,-7.357337908960515e-06,1.0320180741680163e-07,7.565988138990079e-06,1.4837242197050576e-05,2.1736742419814926e-05,2.8109648227470844e-05,3.383517338264485e-05,3.88313588784129e-05,4.305589660378483e-05,4.6503544269292e-05,4.9201041560626324e-05,5.120056462613713e-05,5.25726836415117e-05,5.3399590725807607e-05,5.376911831384885e-05,5.37698291366336e-05,5.3487262552336166e-05,5.300128120806064e-05,5.238437490602568e-05,5.170073442724955e-05,5.100589250230808e-05,5.034672729612127e-05,4.976162454785855e-05,4.928060202782002e-05,4.892526735464697e-05,4.870877126396601e-05,2.431817484588358e-05
6,-3.716574939739021e-05,-6.556308896500258e-05,-5.702848123769655e-05,-5.7586655566434594e-05,-5.8314157484098554e-05,-5.918324830981087e-05,-6.0157569033342825e-05,-6.119132269431652e-05,-6.22284447727102e-05,-6.32018776767929e-05,-6.403310533879163e-05,-6.463214852097282e-05,-6.489826585767504e-05,-6.472164118285806e-05,-6.398635075220076e-05,-6.257487594413247e-05,-6.037433564514479e-05,-5.728443603843019e-05,-5.322686065978733e-05,-4.8155457516990685e-05,-4.2066164244762105e-05,-3.500523281054261e-05,-2.707410056733612e-05,-1.8429349311934557e-05,-9.276705717456055e-06,1.410364547402114e-07,9.561114231974302e-06,1.8720743988250845e-05,2.737707174358577e-05,3.532427607815176e-05,4.2405653720453446e-05,4.851962887429564e-05,5.361980491492191e-05,5.7710104081299556e-05,6.0836552574525834e-05,6.30773634904673e-05,6.453275549434564e-05,6.531556587900195e-05,6.554330094890408e-05,6.533190058498849e-05,6.479121871025642e-05,6.402204415272472e-05,6.311439350423597e-05,6.214677677422492e-05,6.118614521112212e-05,6.028826035481372e-05,5.949826425007106e-05,5.8851286456444424e-05,5.8373017722647736e-05,5.808034736881532e-05,2.899099768134789e-05
7,-4.3309426528341084e-05,-7.635823664988859e-05,-6.639780521371848e-05,-6.711628388822022e-05,-6.805783435336654e-05,-6.919143661441936e-05,-7.047604219025984e-05,-7.18593573299775e-05,-7.327652943803095e-05,-7.464886496839549e-05,-7.588276218254314e-05,-7.686910935898728e-05,-7.748347419192253e-05,-7.758748361332457e-05,-7.703184767770567e-05,-7.566148930810454e-05,-7.332316668205762e-05,-6.987577406294921e-05,-6.520314199749135e-05,-5.922861536056994e-05,-5.193000591539193e-05,-4.3352813131072e-05,-3.361909359029017e-05,-2.29293100289129e-05,-1.1555154213052058e-05,1.7721000695547842e-07,1.1912031714952811e-05,2.3293547126182978e-05,3.399555503797629e-05,4.3746305477112245e-05,5.234526227310143e-05,5.967028723169465e-05,6.567579886552642e-05,7.038391072134657e-05,7.387121752589821e-05,7.625384815144944e-05,7.767289108227794e-05,7.828159520812539e-05,7.823506696017711e-05,7.768264223938443e-05,7.676274636591652e-05,7.559985365311161e-05,7.43030821072537e-05,7.296596536046862e-05,7.166699660850708e-05,7.04706121023992e-05,6.94283604157214e-05,6.858008502888167e-05,6.79550354559075e-05,6.757291200770933e-05,3.3722239760954946e-05
8,-4.951573969445352e-05,-8.727021532386469e-05,-7.588846809428904e-05,-7.679915615217385e-05,-7.799910215312362e-05,-7.945494405952599e-05,-8.11220045406395e-05,-8.29425621540783e-05,-8.48438919358169e-05,-8.673620340932044e-05,-8.851067592236753e-05,-9.00378865544716e-05,-9.116704340125152e-05,-9.172656868226554e-05,-9.152670224067325e-05,-9.036488049548848e-05,-8.803463227309463e-05,-8.43385452081294e-05,-7.910541041724218e-05,-7.221088494829679e-05,-6.35999267116059e-05,-5.33079947872201e-05,-4.147689599273013e-05,-2.836070108516958e-05,-1.4317898305896918e-05,2.1179824442050296e-07,1.47440991256927e-05,2.8794708487948385e-05,4.192389391365764e-05,5.3773139581141365e-05,6.40883419901349e-05,7.272766155206082e-05,7.965561203032506e-05,8.492721953727578e-05,8.866682711609994e-05,9.104566344038867e-05,9.226118217660144e-05,9.251991674202452e-05,9.202451033817993e-05,9.096481278619595e-05,8.951248941476623e-05,8.781839905778723e-05,8.601198397328381e-05,8.420199836097218e-05,8.247802806304717e-05,8.091238683715136e-05,7.956209640731664e-05,7.847076221987622e-05,7.767024321195078e-05,7.718207601276178e-05,3.85090839221284e-05
9,-5.577584390422043e-05,-9.828407071922209e-05,-8.54898667517705e-05,-8.66287575623854e-05,-8.813743593032432e-05,-8.998157364363085e-05,-9.211449113740163e-05,-9.447480449308423e-05,-9.69836470530563e-05,-9.954157170458989e-05,-0.00010202532708110423,-0.00010428482737834114,-0.00010614080646994823,-0.00010738386056213984,-0.00010777582309940564,-0.00010705463939925314,-0.000104944038367938,-0.0001011692117736208,-9.547924554007133e-05,-8.767603407849216e-05,-7.764775247346811e-05,-6.540276960115515e-05,-5.109761768577357e-05,-3.505117860696594e-05,-1.7737764379589663e-05,2.448396761421407e-07,1.823021356883443e-05,3.555193644142287e-05,5.1612221055545105e-05,6.593675439228177e-05,7.820665753301755e-05,8.826540899744227e-05,9.610466261589343e-05,0.00010183628205206509,0.00010565843116943415,0.00010782210422523189,0.0001086022122877802,0.00010827515049957864,0.00010710311453015532,0.0001053244209784916,0.00010314862025830436,0.00010075510334548734,9.829403335650491e-05,9.588865655973375e-05,9.363828723405205e-05,9.162147568326977e-05,8.98990426573802e-05,8.851679460694424e-05,8.750782622280557e-05,8.689437206478927e-05,4.334433738436466e-05
