Free energy,step
-27.37129253099171,4810
-27.37135918004053,4820
-27.371426436923258,4830
-27.37149430919859,4840
-27.371562804550297,4850
-27.371631930789924,4860
-27.371701695859414,4870
-27.371772107833905,4880
-27.371843174924543,4890
-27.371914905481372,4900
-27.37198730799632,4910
-27.37206039110624,4920
-27.372134163596044,4930
-27.37220863440192,4940
-27.372283812614615,4950
-27.372359707482822,4960
-27.37243632841665,4970
-27.372513684991194,4980
-27.37259178695018,4990
