Sum,step
0.5115041213736198,1
0.5235485348328177,2
0.5355809038785565,3
0.5476012405552495,4
0.5596095568952657,5
0.571605864918942,6
0.5835901766345947,7
0.5955625040385315,8
0.6075228591150647,9
0.6194712538365211,10
0.6314077001632561,11
0.6433322100436644,12
0.6552447954141924,13
0.6671454681993497,14
0.6790342403117218,15
0.6909111236519817,16
0.7027761301089013,17
0.714629271559364,18
0.7264705598683762,19
0.7383000068890794,20
0.7501176244627619,21
0.7619234244188706,22
0.7737174185750233,23
0.7854996187370198,24
0.7972700366988543,25
0.809028684242727,26
0.820775573139056,27
0.8325107151464883,28
0.8442341220119135,29
0.8559458054704729,30
0.8676457772455742,31
0.8793340490489001,32
0.8910106325804229,33
0.9026755395284141,34
0.914328781569457,35
0.9259703703684591,36
0.9376003175786621,37
0.9492186348416551,38
0.9608253337873852,39
0.9724204260341692,40
0.9840039231887066,41
0.9955758368460894,42
1.007136178589815,43
1.0186849599917964,44
1.0302221926123767,45
1.0417478880003357,46
1.0532620576929068,47
1.0647647132157856,48
1.0762558660831412,49
1.0877355277976297,50
1.0992037098504035,51
1.1106604237211246,52
1.122105680877975,53
1.1335394927776687,54
1.1449618708654627,55
1.1563728265751687,56
1.167772371329165,57
1.1791605165384076,58
1.1905372736024407,59
1.2019026539094098,60
1.213256668836072,61
1.2245993297478075,62
1.2359306479986314,63
1.247250634931204,64
1.2585593018768442,65
1.269856660155539,66
1.2811427210759552,67
1.2924174959354506,68
1.3036809960200868,69
1.3149332326046381,70
1.3261742169526052,71
1.337403960316224,72
1.3486224739364796,73
1.3598297690431145,74
1.371025856854643,75
1.38221074857836,76
1.3933844554103532,77
1.4045469885355144,78
1.4156983591275503,79
1.4268385783489945,80
1.4379676573512168,81
1.4490856072744374,82
1.4601924392477343,83
1.471288164389058,84
1.482372793805241,85
1.493446338592007,86
1.5045088098339865,87
1.5155602186047243,88
1.5266005759666907,89
1.537629892971296,90
1.5486481806588959,91
1.5596554500588087,92
1.5706517121893215,93
1.5816369780577035,94
1.5926112586602175,95
1.603574564982129,96
1.6145269079977183,97
1.625468298670292,98
1.6363987479521933,99
1.647318266784813,100
1.6582268660985995,101
1.6691245568130726,102
1.6800113498368308,103
1.6908872560675656,104
1.7017522863920698,105
1.7126064516862491,106
1.7234497628151344,107
1.7342822306328909,108
1.7451038659828297,109
1.7559146796974183,110
1.7667146825982925,111
1.7775038854962655,112
1.788282299191341,113
1.7990499344727213,114
1.8098068021188198,115
1.8205529128972728,116
1.8312882775649468,117
1.8420129068679534,118
1.8527268115416573,119
1.8634300023106873,120
1.874122489888948,121
1.8848042849796307,122
1.8954753982752226,123
1.9061358404575193,124
1.9167856221976327,125
1.927424754156007,126
1.938053246982422,127
1.9486711113160113,128
1.959278357785267,129
1.9698749970080536,130
1.9804610395916167,131
1.9910364961325966,132
2.001601377217036,133
2.0121556934203904,134
2.0226994553075412,135
2.0332326734328054,136
2.0437553583399444,137
2.054267520562176,138
2.0647691706221853,139
2.0752603190321346,140
2.085740976293674,141
2.096211152897952,142
2.1066708593256256,143
2.117120106046871,144
2.127558903521396,145
2.137987262198446,146
2.1484051925168193,147
2.1588127049048738,148
2.169209809780541,149
2.1795965175513317,150
2.1899728386143513,151
2.2003387833563095,152
2.2106943621535238,153
2.2210395853719422,154
2.231374463367142,155
2.2416990064843465,156
2.2520132250584335,157
2.2623171294139466,158
2.2726107298651046,159
2.282894036715811,160
2.2931670602596665,161
2.303429810779978,162
2.3136822985497703,163
2.3239245338317915,164
2.3341565268785316,165
2.3443782879322246,166
