Alpha List,M means,M variance
0.0005,-0.6702271512027608,2.42562574405736e-05
0.001,0.665006976254731,8.849501786245954e-05
0.0015,-0.6693738665601174,2.45010798967777e-05
0.002,-0.674942125031203,5.346108906781999e-06
0.0025,-0.6715192639349361,4.6454962983490556e-05
0.003,-0.666511793215404,5.9447932731258395e-05
0.0035,-0.6716159569615272,2.1039835307694636e-05
0.004,0.6684782930341183,6.979386925285488e-05
0.0045000000000000005,0.6737535935835168,1.1351762272382433e-05
0.005000000000000001,0.6537014290720738,0.0021160900739065473
