N step,M means,Phi means
0,-0.00030117834554922246,0.49990070008835885
10,-0.0003342989153873043,0.49990070008835885
20,-0.00037106931009913113,0.49990070008835885
30,-0.0004118755638256764,0.49990070008835885
40,-0.0004571661620882642,0.49990070008835885
50,-0.0005074365002454921,0.49990070008835885
60,-0.0005632353026264686,0.49990070008835885
70,-0.0006251711935880466,0.49990070008835885
80,-0.0006939195667585733,0.49990070008835874
90,-0.0007702300360059471,0.49990070008835885
100,-0.0008549346417196968,0.49990070008835874
110,-0.0009489569360146159,0.49990070008835874
120,-0.0010533220580110653,0.49990070008835885
130,-0.001169167913312777,0.49990070008835874
140,-0.0012977575810491021,0.49990070008835885
150,-0.0014404930841666545,0.49990070008835874
160,-0.001598930673031698,0.49990070008835885
170,-0.001774797788596056,0.49990070008835874
180,-0.001970011889413185,0.49990070008835885
190,-0.002186701346796079,0.49990070008835885
200,-0.002427228634557524,0.49990070008835874
210,-0.0026942160642630026,0.49990070008835885
220,-0.00299057434397078,0.49990070008835885
230,-0.003319534268257648,0.49990070008835885
240,-0.0036846818801644617,0.49990070008835874
250,-0.004089997481775262,0.49990070008835885
260,-0.0045398989096898405,0.49990070008835885
270,-0.005039289534861021,0.49990070008835874
280,-0.005593611493299464,0.49990070008835885
290,-0.0062089047050824485,0.49990070008835885
300,-0.00689187229390741,0.49990070008835885
310,-0.007649953077904229,0.49990070008835874
320,-0.008491401864111051,0.49990070008835885
330,-0.0094253783431171,0.49990070008835885
340,-0.010462045445562737,0.49990070008835885
350,-0.011612678086426215,0.49990070008835885
360,-0.012889783283282833,0.49990070008835885
370,-0.01430723268657503,0.49990070008835885
380,-0.01588040859705179,0.49990070008835885
390,-0.017626364558974775,0.49990070008835885
400,-0.01956400159492594,0.49990070008835885
410,-0.02171426107171012,0.49990070008835885
420,-0.024100335032989757,0.49990070008835885
430,-0.02674789457015732,0.49990070008835885
440,-0.029685336384003343,0.49990070008835885
450,-0.03294404705581601,0.49990070008835885
460,-0.0365586836169855,0.49990070008835885
470,-0.04056746767371337,0.49990070008835885
480,-0.04501248846679391,0.49990070008835885
490,-0.04994000764189766,0.49990070008835885
