Counts,error
0.0,0.0
0.0,0.0
0.02367190082644628,0.002729939328645433
0.023216839898681098,0.003818354212556141
0.26936804322813934,0.016177628421213158
0.27479528942641973,0.012199528464408861
1.4635522606107232,0.04372042767846445
0.7005848446648393,0.010096146460342953
0.6021116090194788,0.009059338402910615
0.5616427511111135,0.008235016409355707
0.4929335170329665,0.006878407475498042
0.4900836669686949,0.006714066366189937
0.4579017669992987,0.006234110710472706
0.4628776752209058,0.006433887996438839
0.45322624590962657,0.006428280411114922
